SIGLA;COD;POP-2004
BA;29;10960
BA;29;2631831
BA;29;18531
BA;29;18757
BA;29;7216
BA;29;32791
BA;29;11529
BA;29;15084
BA;29;41124
BA;29;24429
BA;29;8612
BA;29;31120
BA;29;23867
BA;29;8292
BA;29;60597
BA;29;84057
BA;29;43268
BA;29;19021
BA;29;7628
BA;29;20290
BA;29;14477
BA;29;11677
BA;29;29383
BA;29;18683
BA;29;28391
BA;29;4898
BA;29;6736
BA;29;10384
BA;29;41568
BA;29;17095
BA;29;19084
BA;29;11310
BA;29;11539
BA;29;38764
BA;29;9382
BA;29;59669
BA;29;34551
BA;29;32311
BA;29;18293
BA;29;17762
BA;29;74171
BA;29;11926
BA;29;105117
BA;29;13318
BA;29;19587
BA;29;21385
BA;29;12968
BA;29;13305
BA;29;20934
BA;29;16463
BA;29;6013
BA;29;15362
BA;29;18790
BA;29;118681
BA;29;8516
BA;29;19848
BA;29;12643
BA;29;13202
BA;29;20927
BA;29;53170
BA;29;26840
BA;29;20485
BA;29;25286
BA;29;19701
BA;29;13751
BA;29;15474
BA;29;35111
BA;29;16128
BA;29;14967
BA;29;16807
BA;29;82936
BA;29;19820
BA;29;13728
BA;29;7045
BA;29;12620
BA;29;8679
BA;29;33656
BA;29;6699
BA;29;281684
BA;29;9562
BA;29;13655
BA;29;27672
BA;29;46947
MG;31;6422
MG;31;23217
MG;31;13324
MG;31;4043
MG;31;11307
MG;31;18834
MG;31;2238
MG;31;3749
MG;31;18254
MG;31;12706
MG;31;24420
MG;31;6394
MG;31;2823
MG;31;3023
MG;31;34984
MG;31;74272
MG;31;5244
MG;31;36254
MG;31;7076
MG;31;18182
MG;31;13674
MG;31;5197
MG;31;8983
MG;31;13703
MG;31;4806
MG;31;15723
MG;31;3339
MG;31;5090
MG;31;35323
MG;31;12214
MG;31;8849
MG;31;11413
MG;31;10184
MG;31;1557
MG;31;2231
MG;31;1925
MG;31;36681
MG;31;107459
MG;31;3043
MG;31;7938
MG;31;5790
MG;31;2555
MG;31;6581
MG;31;83659
MG;31;8433
MG;31;35390
MG;31;12952
MG;31;3215
MG;31;4444
MG;31;18009
MG;31;12007
MG;31;16161
MG;31;4868
MG;31;17974
MG;31;8038
MG;31;22274
MG;31;5064
MG;31;5309
MG;31;24981
MG;31;6242
MG;31;121397
MG;31;6862
MG;31;19049
MG;31;9975
MG;31;3146
MG;31;2350564
MG;31;20952
MG;31;7629
MG;31;12848
MG;31;4259
MG;31;4242
MG;31;376318
MG;31;4156
MG;31;13590
MG;31;2701
MG;31;39157
MG;31;5003
MG;31;44571
MG;31;42310
MG;31;6852
MG;31;3831
MG;31;4748
MG;31;15482
MG;31;11342
MG;31;17368
MG;31;6703
MG;31;6161
MG;31;8058
MG;31;15746
MG;31;15539
MG;31;6631
MG;31;4733
MG;31;11952
MG;31;30571
MG;31;15911
MG;31;4840
MG;31;30362
MG;31;11006
MG;31;10590
MG;31;3769
MG;31;21411
MG;31;26636
MG;31;6336
MG;31;14499
MG;31;3844
MG;31;11187
MG;31;8394
MG;31;2316
MG;31;9170
MG;31;37863
MG;31;4256
MG;31;4431
MG;31;12968
MG;31;3389
MG;31;22389
MG;31;25409
MG;31;13066
MG;31;3538
MG;31;15041
MG;31;22150
MG;31;18597
MG;31;11720
MG;31;3705
MG;31;51578
MG;31;5743
MG;31;13695
MG;31;27872
MG;31;5696
MG;31;4470
MG;31;7885
MG;31;14898
MG;31;3979
MG;31;5374
MG;31;4874
MG;31;34140
MG;31;7488
MG;31;8698
MG;31;14066
MG;31;4211
MG;31;13822
MG;31;8206
MG;31;9351
MG;31;20572
MG;31;3487
MG;31;22198
MG;31;32383
MG;31;81151
MG;31;9363
MG;31;5965
MG;31;21331
MG;31;2248
MG;31;12278
MG;31;10487
MG;31;13188
MG;31;18564
MG;31;30538
MG;31;20893
MG;31;14714
MG;31;8451
MG;31;3558
MG;31;3353
MG;31;4760
MG;31;2352
MG;31;2618
MG;31;18027
MG;31;66977
MG;31;4459
MG;31;3241
MG;31;7481
MG;31;5117
MG;31;23482
MG;31;1231
MG;31;6602
MG;31;8416
MG;31;1915
MG;31;5732
MG;31;14935
MG;31;8750
MG;31;2988
MG;31;6399
MG;31;4669
